geo,latitude,longitude,name,un_state,world_4region
jam,18.16667,-77.25,Jamaica,TRUE,americas
jey,49.21667,-2.11667,Jersey,FALSE,europe
jor,31.0,36.0,Jordan,TRUE,asia
jpn,35.68536,139.75309,Japan,TRUE,asia
kaz,48.0,68.0,Kazakhstan,TRUE,asia
ken,1.0,38.0,Kenya,TRUE,africa
kgz,41.5,75.0,Kyrgyz Republic,TRUE,asia
khm,13.0,105.0,Cambodia,TRUE,asia
kir,1.421,172.984,Kiribati,TRUE,asia
kna,17.33333,-62.75,St. Kitts and Nevis,TRUE,americas
kor,36.5,127.75,South Korea,TRUE,asia
korea_union,,,United Korea (former),FALSE,asia
kos,,,Kosovo,FALSE,europe
kwt,29.36972,47.97833,Kuwait,TRUE,asia
lao,18.0,105.0,Lao,TRUE,asia
lbn,33.83333,35.83333,Lebanon,TRUE,asia
lbr,6.5,-9.5,Liberia,TRUE,africa
lby,28.0,17.0,Libya,TRUE,africa
lca,13.88333,-60.96667,St. Lucia,TRUE,americas
lie,47.16667,9.53333,Liechtenstein,TRUE,europe
lka,7.75,80.75,Sri Lanka,TRUE,asia
lso,-29.5,28.25,Lesotho,TRUE,africa
ltu,55.41667,24.0,Lithuania,TRUE,europe
lux,49.61167,6.13,Luxembourg,TRUE,europe
lva,57.0,25.0,Latvia,TRUE,europe
mac,22.20056,113.54611,"Macao, China",FALSE,asia
maf,,,St. Martin (French part),FALSE,americas
mar,32.0,-6.0,Morocco,TRUE,africa
mco,43.73333,7.41667,Monaco,TRUE,europe
mda,47.25,28.58333,Moldova,TRUE,europe
mdg,-20.0,47.0,Madagascar,TRUE,africa
mdv,3.2,73.0,Maldives,TRUE,asia
mex,19.42847,-99.12766,Mexico,TRUE,americas
mhl,7.113,171.236,Marshall Islands,TRUE,asia
mkd,41.66667,21.75,North Macedonia,TRUE,europe
mli,18.0,-2.0,Mali,TRUE,africa
mlt,35.91667,14.43333,Malta,TRUE,europe
mmr,21.0,96.0,Myanmar,TRUE,asia
mne,42.75,19.25,Montenegro,TRUE,europe
mng,46.0,105.0,Mongolia,TRUE,asia
mnp,15.214,145.756,Northern Mariana Islands,FALSE,asia
moz,-18.25,35.0,Mozambique,TRUE,africa
mrt,20.25,-10.5,Mauritania,TRUE,africa
msr,16.75,-62.2,Montserrat,FALSE,americas
mtq,14.66667,-61.0,Martinique,FALSE,americas
mus,-20.3,57.58333,Mauritius,TRUE,africa
mwi,-13.5,34.0,Malawi,TRUE,africa
mys,2.5,112.5,Malaysia,TRUE,asia
myt,-12.83333,45.16667,Mayotte,FALSE,africa
nam,-22.0,17.0,Namibia,TRUE,africa
ncl,-21.5,165.5,New Caledonia,FALSE,asia
ner,18.0,9.0,Niger,TRUE,africa
nfk,-29.03333,167.95,Norfolk Island,FALSE,asia
nga,10.0,8.0,Nigeria,TRUE,africa
ngokar,,,Ngorno-Karabakh,FALSE,europe
nic,13.0,-85.0,Nicaragua,TRUE,americas
niu,-19.03333,-169.86667,Niue,FALSE,asia
nld,52.25,5.75,Netherlands,TRUE,europe
nld_curacao,12.16667,-68.96667,Curaçao,FALSE,americas
nor,62.0,10.0,Norway,TRUE,europe
npl,28.0,84.0,Nepal,TRUE,asia
nru,-0.517,166.933,Nauru,TRUE,asia
nzl,-42.0,174.0,New Zealand,TRUE,asia
omn,21.0,57.0,Oman,TRUE,asia
pak,30.0,70.0,Pakistan,TRUE,asia
pan,8.9936,-79.51973,Panama,TRUE,americas
pcn,-25.06667,-130.1,Pitcairn,FALSE,asia
per,-10.0,-75.25,Peru,TRUE,americas
phl,13.0,122.0,Philippines,TRUE,asia
plw,7.503,134.621,Palau,TRUE,asia
png,-6.0,147.0,Papua New Guinea,TRUE,asia
pol,52.0,20.0,Poland,TRUE,europe
pri,18.46633,-66.10572,Puerto Rico,FALSE,americas
prk,40.0,127.0,North Korea,TRUE,asia
prt,39.6945,-8.13057,Portugal,TRUE,europe
pry,-23.33333,-58.0,Paraguay,TRUE,americas
pse,31.92157,35.20329,Palestine,TRUE,asia
pse_gaza,,,Gaza Strip,FALSE,asia
pse_west_bank,,,West Bank,FALSE,asia
pyf,-15.0,-140.0,French Polynesia,FALSE,asia
qat,25.27932,51.52245,Qatar,TRUE,asia
reu,-20.88231,55.4504,Reunion,FALSE,africa
rou,46.0,25.0,Romania,TRUE,europe
rus,60.0,100.0,Russia,TRUE,europe
rwa,-2.0,30.0,Rwanda,TRUE,africa
sau,25.0,45.0,Saudi Arabia,TRUE,asia
scg,,,Serbia and Montenegro,FALSE,europe
scg_ex_kos,,,Serbia excluding Kosovo,FALSE,europe
sdn,16.0,30.0,Sudan,TRUE,africa
sen,14.5,-14.25,Senegal,TRUE,africa
sgero_a_ssandw,,,South Georgia and the South Sandwich Islands,FALSE,americas
sgp,1.28967,103.85007,Singapore,TRUE,asia
shn,-15.95,-5.7,St. Helena,FALSE,africa
sjm,78.0,20.0,Svalbard,FALSE,europe
slb,-8.0,159.0,Solomon Islands,TRUE,asia
sle,8.5,-11.5,Sierra Leone,TRUE,africa
slv,13.83333,-88.91667,El Salvador,TRUE,americas
smr,43.93667,12.44639,San Marino,TRUE,europe
som,6.0,48.0,Somalia,TRUE,africa
som_somland,,,Somaliland,FALSE,africa
sosset,,,South Ossetia,FALSE,europe
spm,46.83333,-56.33333,St.-Pierre-et-Miquelon,FALSE,americas
srb,44.81892,20.45998,Serbia,TRUE,europe
ssd,7.5,30.0,South Sudan,TRUE,africa
stbar,,,St. Barthélemy,FALSE,americas
stmar,,,St. Martin,FALSE,americas
stp,1.0,7.0,Sao Tome and Principe,TRUE,africa
sur,4.0,-56.0,Suriname,TRUE,americas
svk,48.66667,19.5,Slovak Republic,TRUE,europe
svn,46.08333,15.0,Slovenia,TRUE,europe
swe,62.0,15.0,Sweden,TRUE,europe
swz,-26.5,31.5,Swaziland,TRUE,africa
