asylum_residence,time,displaced_population
bdi,2014,136846
bdi,2015,84427
bdi,2016,203951
bdi,2017,195504
bdi,2018,156349
bel,1951,55000
bel,1952,53500
bel,1953,53000
bel,1954,53000
bel,1955,53000
bel,1956,65000
bel,1957,69000
bel,1958,63000
bel,1959,58000
bel,1960,55000
bel,1961,53000
bel,1962,51000
bel,1963,50000
bel,1964,47000
bel,1965,47000
bel,1966,40000
bel,1967,34000
bel,1968,33000
bel,1969,30000
bel,1970,31500
bel,1971,29000
bel,1972,29000
bel,1973,20000
bel,1974,11100
bel,1975,16788
bel,1976,17000
bel,1977,17000
bel,1978,17000
bel,1979,32000
bel,1980,33000
bel,1981,35000
bel,1982,21000
bel,1983,35000
bel,1984,36400
bel,1985,36601
bel,1986,35900
bel,1987,22000
bel,1988,23117
bel,1989,25531
bel,1990,25911
bel,1991,24071
bel,1992,24292
bel,1993,24908
bel,1994,19509
bel,1995,31704
bel,1996,36140
bel,1997,36060
bel,1998,15607
bel,1999,17864
bel,2000,68002
bel,2001,13279
bel,2002,33082
bel,2003,35444
bel,2004,36698
bel,2005,34593
bel,2006,33139
bel,2007,33308
bel,2008,31865
bel,2009,34512
bel,2010,36876
bel,2011,42107
bel,2012,41053
bel,2013,39578
bel,2014,41718
bel,2015,77128
bel,2016,68909
bel,2017,68587
bel,2018,69213
ben,1969,1100
ben,1983,50
ben,1984,800
ben,1985,3700
ben,1986,3740
ben,1987,3050
ben,1988,1176
ben,1989,1268
ben,1990,776
ben,1991,776
ben,1992,573
ben,1993,156654
ben,1994,163133
ben,1995,70519
ben,1996,21739
ben,1997,6457
ben,1998,2924
ben,1999,3671
ben,2000,4391
ben,2001,5053
ben,2002,5365
ben,2003,6074
ben,2004,6131
ben,2005,32066
ben,2006,14406
ben,2007,10261
ben,2008,7716
ben,2009,7536
ben,2010,7287
ben,2011,7680
ben,2012,5237
ben,2013,542
ben,2014,494
ben,2015,714
ben,2016,1038
ben,2017,1311
ben,2018,1450
bfa,1983,70
bfa,1984,100
bfa,1985,90
bfa,1986,220
bfa,1987,270
bfa,1988,260
bfa,1989,360
bfa,1990,350
bfa,1991,380
bfa,1992,5670
bfa,1993,6604
bfa,1994,50000
bfa,1995,34181
bfa,1996,29777
bfa,1997,19504
bfa,1998,2231
bfa,1999,676
bfa,2000,1013
bfa,2001,711
bfa,2002,834
bfa,2003,980
bfa,2004,1016
bfa,2005,1302
bfa,2006,1273
bfa,2007,1153
bfa,2008,1168
bfa,2009,1070
bfa,2010,1074
bfa,2011,1213
bfa,2012,40033
bfa,2013,33791
bfa,2014,39842
bfa,2015,35834
bfa,2016,36154
bfa,2017,26544
bfa,2018,72179
bgd,1974,104320
bgd,1978,200000
bgd,1979,150680
bgd,1990,145
bgd,1991,40260
bgd,1992,253684
bgd,1993,245085
bgd,1994,201534
bgd,1995,112623
bgd,1996,53741
bgd,1997,31675
bgd,1998,22384
bgd,1999,23348
bgd,2000,22955
bgd,2001,22477
bgd,2002,22808
bgd,2003,23040
bgd,2004,270669
bgd,2005,271250
bgd,2006,326390
bgd,2007,27626
bgd,2008,28392
bgd,2009,228586
bgd,2010,229253
bgd,2011,229673
bgd,2012,230702
bgd,2013,231159
bgd,2014,232485
bgd,2015,231958
bgd,2016,276208
bgd,2017,932319
bgd,2018,906674
bgr,1992,218
bgr,1993,450
bgr,1994,1063
bgr,1995,1323
bgr,1996,1562
bgr,1997,398
bgr,1998,240
bgr,1999,568
bgr,2000,2793
bgr,2001,4553
bgr,2002,4803
bgr,2003,4834
bgr,2004,5605
bgr,2005,5218
bgr,2006,5365
bgr,2007,5848
bgr,2008,6208
bgr,2009,6589
bgr,2010,6942
bgr,2011,7072
bgr,2012,3558
bgr,2013,8880
bgr,2014,17895
bgr,2015,26134
bgr,2016,33923
bgr,2017,21886
bgr,2018,21498
bhr,1974,60
bhr,1985,800
bhr,1987,2360
bhr,1988,50
bhr,1989,150
bhr,1990,1780
bhr,1999,1
bhr,2000,3
bhr,2001,1
bhr,2002,1
bhr,2003,1
bhr,2004,6
bhr,2005,15
bhr,2006,18
bhr,2007,35
bhr,2008,97
bhr,2009,151
bhr,2010,234
bhr,2011,359
bhr,2012,339
bhr,2013,346
bhr,2014,353
bhr,2015,371
bhr,2016,382
bhr,2017,360
bhr,2018,310
bhs,1992,1354
bhs,1993,422
bhs,1995,8
bhs,1996,48
bhs,1997,60
bhs,1998,80
bhs,1999,100
bhs,2000,103
bhs,2010,37
bhs,2011,42
bhs,2012,52
bhs,2013,27
bhs,2014,105
bhs,2015,115
bhs,2016,31
bhs,2017,22
bhs,2018,28
bih,1993,1290000
bih,1994,1282600
bih,1995,1097800
bih,1996,760146
bih,1997,914360
bih,1998,906117
bih,1999,965353
bih,2000,624881
bih,2001,558311
bih,2002,469774
bih,2003,393430
bih,2004,350717
bih,2005,199518
bih,2006,151320
bih,2007,144139
bih,2008,193963
bih,2009,182664
bih,2010,178959
bih,2011,177653
bih,2012,177260
bih,2013,163730
bih,2014,144107
bih,2015,157708
bih,2016,156171
bih,2017,152981
bih,2018,152034
blr,1994,1822
blr,1995,28988
blr,1996,30526
blr,1997,160050
blr,1998,175991
blr,1999,160260
blr,2000,160869
blr,2001,35505
blr,2002,20474
blr,2003,17343
blr,2004,13737
blr,2005,13202
blr,2006,12046
blr,2007,11112
blr,2008,10901
blr,2009,8470
blr,2010,8389
blr,2011,8036
blr,2012,7607
blr,2013,7404
blr,2014,7624
blr,2015,7728
blr,2016,8063
blr,2017,8423
blr,2018,8414
blz,1980,4000
blz,1981,7000
blz,1982,3200
blz,1983,7000
blz,1984,8180
blz,1985,9000
blz,1986,9000
blz,1987,10000
blz,1988,30100
blz,1989,30150
blz,1990,30717
blz,1991,29969
blz,1992,20761
blz,1993,9077
blz,1994,8972
blz,1995,8834
blz,1996,8675
blz,1997,8475
blz,1998,23537
blz,1999,22928
blz,2000,9812
blz,2001,1153
blz,2002,1063
blz,2003,869
blz,2004,763
blz,2005,638
blz,2006,489
blz,2007,360
blz,2008,284
blz,2009,251
blz,2010,166
blz,2011,133
blz,2012,104
blz,2013,84
blz,2014,124
blz,2015,812
blz,2016,4140
blz,2017,5894
blz,2018,6103
bol,1972,700
bol,1973,700
bol,1974,700
bol,1978,500
bol,1979,500
bol,1980,500
bol,1981,500
bol,1985,170
bol,1986,120
bol,1987,170
bol,1988,220
bol,1989,270
bol,1990,250
bol,1991,341
bol,1992,491
bol,1993,669
bol,1994,736
bol,1995,681
bol,1996,705
bol,1997,333
bol,1998,356
bol,1999,354
bol,2000,354
bol,2001,358
bol,2002,371
bol,2003,528
bol,2004,546
bol,2005,540
bol,2006,587
bol,2007,794
bol,2008,755
bol,2009,713
bol,2010,739
bol,2011,734
bol,2012,741
bol,2013,754
bol,2014,779
bol,2015,775
bol,2016,789
bol,2017,765
bol,2018,816
bonaire,2010,1
bra,1969,40000
bra,1970,40000
bra,1971,38000
bra,1972,37000
bra,1973,35200
bra,1974,34000
bra,1975,32000
bra,1976,30000
bra,1977,36000
bra,1978,35000
bra,1979,25000
bra,1980,24000
bra,1981,24000
bra,1982,5400
bra,1983,5400
bra,1984,5400
bra,1985,5350
bra,1986,5300
bra,1987,5280
bra,1988,5332
bra,1989,5331
bra,1990,5335
bra,1991,5389
bra,1992,5489
bra,1993,6226
bra,1994,2340
bra,1995,2119
bra,1996,2218
bra,1997,2263
bra,1998,2348
bra,1999,2378
bra,2000,3265
bra,2001,3533
bra,2002,3743
bra,2003,3773
bra,2004,3795
bra,2005,7746
bra,2006,20906
bra,2007,21210
bra,2008,4382
bra,2009,4515
bra,2010,5237
bra,2011,9153
bra,2012,11711
bra,2013,22165
bra,2014,47946
bra,2015,35790
bra,2016,68087
bra,2017,148555
bra,2018,203645
brb,2012,1
brb,2013,1
brb,2014,1
brb,2016,2
brn,2010,20992
brn,2011,20992
brn,2012,21009
brn,2013,20524
brn,2014,20524
brn,2015,20524
brn,2016,20524
brn,2017,20524
brn,2018,20863
btn,1966,3000
bwa,1968,3980
bwa,1969,3600
bwa,1970,4360
bwa,1971,8890
bwa,1972,4500
bwa,1973,4500
bwa,1974,2480
bwa,1975,3150
bwa,1976,2840
bwa,1977,4810
bwa,1978,31080
bwa,1979,23700
bwa,1980,23740
bwa,1981,1290
bwa,1982,1300
bwa,1983,4660
bwa,1984,4970
bwa,1985,5680
bwa,1986,5560
bwa,1987,5300
bwa,1988,3025
bwa,1989,1261
bwa,1990,1249
bwa,1991,1404
bwa,1992,1097
bwa,1993,590
bwa,1994,503
bwa,1995,276
bwa,1996,232
bwa,1997,283
bwa,1998,2137
bwa,1999,2677
bwa,2000,3624
bwa,2001,4303
bwa,2002,4803
bwa,2003,3921
bwa,2004,3935
bwa,2005,3748
bwa,2006,3195
bwa,2007,3003
bwa,2008,3214
bwa,2009,3281
bwa,2010,3346
bwa,2011,3648
bwa,2012,3535
bwa,2013,3454
bwa,2014,2916
bwa,2015,2317
bwa,2016,2842
bwa,2017,2466
bwa,2018,2303
caf,1964,3300
caf,1965,20560
caf,1966,43000
caf,1967,38700
caf,1968,34000
caf,1969,24900
caf,1970,27220
caf,1971,30000
caf,1972,58290
caf,1973,23000
caf,1974,5000
caf,1975,5000
caf,1979,1000
caf,1980,7000
caf,1981,8030
caf,1982,8310
caf,1983,6790
caf,1984,42210
caf,1985,73200
caf,1986,28200
caf,1987,11300
caf,1988,4438
caf,1989,3163
caf,1990,5614
caf,1991,13123
caf,1992,20000
caf,1993,44523
caf,1994,47899
caf,1995,44088
caf,1996,37793
caf,1997,42169
caf,1998,43903
caf,1999,51679
caf,2000,57799
caf,2001,53528
caf,2002,57382
caf,2003,48614
caf,2004,29802
caf,2005,28696
caf,2006,174109
caf,2007,219387
caf,2008,205900
caf,2009,225281
caf,2010,215324
caf,2011,202570
caf,2012,104533
caf,2013,911706
caf,2014,1064786
caf,2015,483143
caf,2016,424212
caf,2017,866934
caf,2018,989431
can,1951,168511
can,1952,154828
can,1953,107004
can,1954,75828
can,1955,52551
can,1956,17485
can,1957,46334
can,1958,46908
can,1959,47934
can,1960,48629
can,1961,44492
can,1962,12282
can,1963,10946
can,1964,10178
can,1965,9980
can,1966,10225
can,1967,9991
can,1968,17950
can,1969,19275
can,1970,18518
can,1971,17196
can,1972,20933
can,1973,13358
can,1974,11410
can,1975,16349
can,1976,27387
can,1977,29537
can,1978,31295
can,1979,57913
can,1980,92679
can,1981,96415
can,1982,107591
can,1983,120947
can,1984,112966
can,1985,92194
can,1986,98743
can,1987,104843
can,1988,116434
can,1989,135752
can,1990,154761
can,1991,170916
can,1992,183723
can,1993,183316
can,1994,186601
can,1995,152125
can,1996,138435
can,1997,125184
can,1998,119374
can,1999,125103
can,2000,157604
can,2001,175224
can,2002,183206
can,2003,174791
can,2004,168717
can,2005,167735
can,2006,175443
can,2007,213258
can,2008,227872
can,2009,230611
can,2010,216581
can,2011,207353
can,2012,196947
can,2013,182792
can,2014,165914
can,2015,155554
can,2016,121267
can,2017,160396
can,2018,196543
che,1951,10000
che,1952,9800
che,1953,9500
che,1954,9400
che,1955,9200
che,1956,20700
che,1957,20500
che,1958,20000
che,1959,20000
che,1960,20000
che,1961,20000
che,1962,20000
che,1963,20000
che,1964,20000
che,1965,20000
che,1966,20500
che,1967,21000
che,1968,26000
che,1969,30000
che,1970,31000
che,1971,30000
che,1972,35000
che,1973,35000
che,1974,35000
che,1975,35000
che,1976,35000
che,1977,30000
che,1978,30000
che,1979,30000
che,1980,32000
che,1981,40000
che,1982,33404
che,1983,32312
che,1984,31201
che,1985,30726
che,1986,31343
che,1987,31707
che,1988,31949
che,1989,36764
che,1990,40943
che,1991,45623
che,1992,51930
che,1993,56588
che,1994,75295
che,1995,82966
che,1996,86213
che,1997,87124
che,1998,86724
che,1999,98226
che,2000,111986
che,2001,85536
che,2002,83710
che,2003,76175
che,2004,67327
che,2005,63448
che,2006,61764
che,2007,56831
che,2008,63539
che,2009,63686
che,2010,61856
che,2011,67426
che,2012,72532
che,2013,74678
che,2014,83636
che,2015,106148
che,2016,113547
che,2017,116768
che,2018,118741
chl,1969,6500
chl,1970,6000
chl,1971,7000
chl,1972,7000
chl,1973,9500
chl,1974,3700
chl,1975,3300
chl,1976,4000
chl,1977,5200
chl,1978,3080
chl,1979,2000
chl,1980,1500
chl,1981,1500
chl,1982,2500
chl,1983,2500
chl,1984,2500
chl,1985,540
chl,1988,300
chl,1989,300
chl,1990,58
chl,1991,72
chl,1992,142
chl,1993,239
chl,1994,217
chl,1995,283
chl,1996,363
chl,1997,276
chl,1998,305
chl,1999,337
chl,2000,443
chl,2001,459
chl,2002,449
chl,2003,515
chl,2004,656
chl,2005,913
chl,2006,1479
chl,2007,1894
chl,2008,2503
chl,2009,2037
chl,2010,1895
chl,2011,2038
chl,2012,2048
chl,2013,2164
chl,2014,2346
chl,2015,2913
chl,2016,4960
chl,2017,96977
chl,2018,301075
chn,1966,1070
chn,1979,250000
chn,1980,263000
chn,1981,265000
chn,1982,272100
chn,1983,276630
chn,1984,279750
chn,1985,279670
chn,1986,281790
chn,1987,280600
chn,1988,284300
chn,1989,284300
chn,1990,287276
chn,1991,290314
chn,1992,289834
chn,1993,287707
chn,1994,287474
chn,1995,288376
chn,1996,290857
chn,1997,292060
chn,1998,292527
chn,1999,293299
chn,2000,294123
chn,2001,295328
chn,2002,297284
chn,2003,299397
chn,2004,299426
chn,2005,301126
chn,2006,301129
chn,2007,301170
chn,2008,301003
chn,2009,301037
chn,2010,301108
chn,2011,301049
chn,2012,301302
chn,2013,301427
chn,2014,301519
chn,2015,301730
chn,2016,317923
chn,2017,322399
chn,2018,322312
civ,1969,12000
civ,1971,300
civ,1975,300000
civ,1976,500070
civ,1983,450
civ,1984,650
civ,1985,810
civ,1986,880
civ,1987,860
civ,1988,800
civ,1989,480
civ,1990,272281
civ,1991,230290
civ,1992,174076
civ,1993,260944
civ,1994,363143
civ,1995,298310
civ,1996,327827
civ,1997,209089
civ,1998,251746
civ,1999,170062
civ,2000,151217
civ,2001,130684
civ,2002,168004
civ,2003,136385
civ,2004,129064
civ,2005,115120
civ,2006,753970
civ,2007,741425
civ,2008,734172
civ,2009,711209
civ,2010,564542
civ,2011,620481
civ,2012,863432
civ,2013,748768
civ,2014,726652
civ,2015,1011420
civ,2016,695806
civ,2017,702369
civ,2018,696889
cmr,1970,8000
cmr,1975,30000
cmr,1976,30000
cmr,1977,30000
cmr,1978,30000
cmr,1979,20240
cmr,1980,128000
cmr,1981,266020
cmr,1982,172710
cmr,1983,4250
cmr,1984,18690
cmr,1985,35150
cmr,1986,54530
cmr,1987,59560
cmr,1988,53980
cmr,1989,51360
cmr,1990,52306
cmr,1991,50737
cmr,1992,45663
cmr,1993,44615
cmr,1994,44345
cmr,1995,45792
cmr,1996,47146
cmr,1997,47732
cmr,1998,48039
cmr,1999,49245
cmr,2000,47600
cmr,2001,46859
cmr,2002,63596
cmr,2003,64416
cmr,2004,65397
cmr,2005,66252
cmr,2006,39287
cmr,2007,62436
cmr,2008,87699
cmr,2009,102326
cmr,2010,106724
cmr,2011,106274
cmr,2012,104192
cmr,2013,123492
cmr,2014,275925
cmr,2015,470903
cmr,2016,601994
cmr,2017,598535
cmr,2018,1124575
cod,1960,150000
cod,1961,203000
cod,1962,223000
cod,1963,237000
cod,1964,236000
cod,1965,266300
cod,1966,357100
cod,1967,434100
cod,1968,475400
cod,1969,496550
cod,1970,493000
cod,1971,484250
cod,1972,510250
cod,1973,496060
cod,1974,503250
cod,1975,510000
cod,1976,515000
cod,1977,530300
cod,1978,713330
cod,1979,780480
cod,1980,841110
cod,1981,616740
cod,1982,621400
cod,1983,306610
cod,1984,353520
cod,1985,342140
cod,1986,304000
cod,1987,336050
cod,1988,342485
cod,1989,346569
cod,1990,423435
cod,1991,518169
cod,1992,505967
cod,1993,582679
cod,1994,2179382
cod,1995,1536358
cod,1996,1558590
cod,1997,541130
cod,1998,291891
cod,1999,393521
cod,2000,371910
cod,2001,393903
cod,2002,392031
cod,2003,338636
cod,2004,245990
cod,2005,251916
cod,2006,1821497
cod,2007,2515749
cod,2008,1636222
cod,2009,2332901
cod,2010,2363859
cod,2011,2699723
cod,2012,3139243
cod,2013,3753776
cod,2014,3610762
cod,2015,2701323
cod,2016,3327664
cod,2017,5144916
cod,2018,5058283
cog,1969,500
cog,1970,500
cog,1974,10000
cog,1975,5000
cog,1978,1000
cog,1981,80
cog,1983,1000
cog,1984,1000
cog,1985,1200
cog,1986,1580
cog,1987,2120
cog,1988,2210
cog,1989,3491
cog,1990,3040
cog,1991,3595
cog,1992,3565
cog,1993,13757
cog,1994,15522
cog,1995,19433
cog,1996,20451
cog,1997,22452
cog,1998,28221
cog,1999,40719
cog,2000,125480
cog,2001,123979
cog,2002,112002
cog,2003,102517
cog,2004,72930
cog,2005,77640
cog,2006,75207
cog,2007,65019
cog,2008,41634
cog,2009,116459
cog,2010,138695
cog,2011,145395
cog,2012,149349
cog,2013,117680
cog,2014,69369
cog,2015,52427
cog,2016,71609
cog,2017,167260
cog,2018,197041
col,1970,1500
col,1971,1400
col,1972,1350
col,1973,1450
col,1974,1200
col,1977,1800
col,1978,1500
col,1979,2000
col,1980,2000
col,1981,1800
col,1982,150
col,1983,210
col,1984,330
col,1985,400
col,1986,240
col,1987,680
col,1988,720
col,1989,700
col,1990,570
col,1991,510
col,1992,478
col,1993,310
col,1994,333
col,1995,224
col,1996,220
col,1997,223
col,1998,226
col,1999,233
col,2000,525516
col,2001,720238
col,2002,950218
col,2003,1244391
col,2004,2000177
col,2005,2000205
col,2006,3000235
col,2007,3000273
col,2008,3000263
col,2009,3304302
col,2010,3672444
col,2011,3888660
col,2012,3943817
col,2013,5368445
col,2014,6044546
col,2015,6939420
col,2016,7411471
col,2017,7747316
col,2018,9015052
com,1990,60
com,1992,350
com,1999,9
com,2000,12
com,2001,13
com,2002,3
com,2005,1
com,2006,1
cpv,1991,3
cpv,1992,2
cpv,1993,1
cpv,1999,456
cpv,2000,73
cpv,2005,1
cpv,2014,115
cpv,2015,115
cpv,2016,115
cpv,2017,115
cpv,2018,115
cri,1972,700
cri,1974,200
cri,1977,3500
cri,1978,133000
cri,1979,53610
cri,1980,25060
cri,1981,15000
cri,1982,16600
cri,1983,16910
cri,1984,17210
cri,1985,24000
cri,1986,31200
cri,1987,31860
cri,1988,279560
cri,1989,279910
cri,1990,283020
cri,1991,123132
cri,1992,116632
cri,1993,25189
cri,1994,24649
cri,1995,24230
cri,1996,24307
cri,1997,23114
cri,1998,23042
cri,1999,22928
cri,2000,6616
cri,2001,10699
cri,2002,12522
cri,2003,13585
cri,2004,10636
cri,2005,11476
cri,2006,16902
cri,2007,17701
cri,2008,18601
cri,2009,19703
cri,2010,19920
cri,2011,20517
cri,2012,21087
cri,2013,21186
cri,2014,23718
cri,2015,8705
cri,2016,7953
cri,2017,11944
cri,2018,37200
cub,1974,1300
cub,1977,2600
cub,1978,4000
cub,1979,3060
cub,1980,3150
cub,1981,2000
cub,1982,2000
cub,1983,2000
cub,1984,2000
cub,1985,2000
cub,1986,2120
cub,1987,2000
cub,1988,2000
cub,1989,3990
cub,1990,3988
cub,1992,8152
cub,1993,5413
cub,1994,2744
cub,1995,1965
cub,1996,1755
cub,1997,1281
cub,1998,1080
cub,1999,972
cub,2000,967
cub,2001,1052
cub,2002,1008
cub,2003,842
cub,2004,800
cub,2005,738
cub,2006,696
cub,2007,631
cub,2008,536
cub,2009,459
cub,2010,423
cub,2011,386
cub,2012,374
cub,2013,386
cub,2014,291
cub,2015,328
cub,2016,343
cub,2017,359
cub,2018,303
cym,2009,5
cym,2010,5
cym,2011,4
cym,2012,3
cym,2013,11
cym,2014,53
cym,2015,16
cym,2016,42
cym,2017,50
cym,2018,54
cyp,1968,200
cyp,1969,200
cyp,1970,200
cyp,1971,200
cyp,1972,200
cyp,1977,700
cyp,1982,7240
cyp,1988,400
cyp,1990,273
cyp,1991,110
cyp,1992,80
cyp,1993,265082
cyp,1994,265070
cyp,1995,265056
cyp,1996,265072
cyp,1997,265049
cyp,1998,265084
cyp,1999,135
cyp,2000,582
