asylum_residence,time,displaced_population
abw,2010,1
abw,2011,4
abw,2012,6
abw,2013,7
abw,2014,5
abw,2015,2
abw,2016,5
abw,2017,17
abw,2018,16009
afg,1990,50
afg,1991,38
afg,1992,60025
afg,1993,47132
afg,1994,369657
afg,1995,180543
afg,1996,293998
afg,1997,311057
afg,1998,326994
afg,1999,258688
afg,2000,758653
afg,2001,1200006
afg,2002,1418521
afg,2003,266428
afg,2004,186999
afg,2005,159597
afg,2006,139793
afg,2007,161776
afg,2008,237170
afg,2009,304404
afg,2010,1199987
afg,2011,1480677
afg,2012,1400742
afg,2013,945531
afg,2014,1307176
afg,2015,1705912
afg,2016,1971671
afg,2017,2454448
afg,2018,2759004
ago,1976,10000
ago,1977,235000
ago,1978,249190
ago,1979,146550
ago,1980,75000
ago,1981,91700
ago,1982,96280
ago,1983,98880
ago,1984,99130
ago,1985,91520
ago,1986,92250
ago,1987,92150
ago,1988,90400
ago,1989,12899
ago,1990,11557
ago,1991,13122
ago,1992,11002
ago,1993,99027
ago,1994,314994
ago,1995,11807
ago,1996,9969
ago,1997,9366
ago,1998,10615
ago,1999,13075
ago,2000,271023
ago,2001,215153
ago,2002,215180
ago,2003,14390
ago,2004,14903
ago,2005,14914
ago,2006,14678
ago,2007,14990
ago,2008,15895
ago,2009,33455
ago,2010,19396
ago,2011,19391
ago,2012,43750
ago,2013,43831
ago,2014,45686
ago,2015,45700
ago,2016,45708
ago,2017,71248
ago,2018,69984
aia,2015,1
aia,2016,1
alb,1992,3000
alb,1993,3000
alb,1994,3000
alb,1995,4720
alb,1996,4926
alb,1997,30
alb,1998,22332
alb,1999,439720
alb,2000,674
alb,2001,5202
alb,2002,85
alb,2003,122
alb,2004,92
alb,2005,92
alb,2006,93
alb,2007,99
alb,2008,93
alb,2009,91
alb,2010,99
alb,2011,106
alb,2012,7560
alb,2013,7767
alb,2014,8032
alb,2015,8377
alb,2016,7811
alb,2017,7312
alb,2018,4492
are,1968,300
are,1969,300
are,1971,870
are,1972,870
are,1973,3200
are,1974,1200
are,1976,4000
are,1977,390
are,1978,390
are,1979,590
are,1980,2490
are,1981,6090
are,1982,3690
are,1983,4090
are,1984,5170
are,1985,26350
are,1989,70
are,1993,433
are,1994,481
are,1995,424
are,1996,489
are,1997,519
are,1998,529
are,1999,501
are,2000,897
are,2001,917
are,2002,440
are,2003,455
are,2004,157
are,2005,183
are,2006,206
are,2007,223
are,2008,274
are,2009,925
are,2010,624
are,2011,2007
are,2012,2217
are,2013,1515
are,2014,1064
are,2015,1253
are,2016,1507
are,2017,2759
are,2018,7739
arg,1969,32000
arg,1970,35000
arg,1971,34000
arg,1972,33000
arg,1973,37000
arg,1974,47000
arg,1975,46000
arg,1976,41010
arg,1977,35000
arg,1978,26920
arg,1979,27610
arg,1980,26520
arg,1981,26570
arg,1982,11630
arg,1983,11500
arg,1984,11500
arg,1985,15300
arg,1986,14000
arg,1987,13790
arg,1988,13968
arg,1989,13694
arg,1990,13285
arg,1991,12339
arg,1992,12085
arg,1993,12018
arg,1994,12879
arg,1995,10619
arg,1996,10526
arg,1997,10522
arg,1998,2275
arg,1999,2370
arg,2000,3671
arg,2001,3939
arg,2002,4010
arg,2003,3864
arg,2004,3914
arg,2005,3901
arg,2006,4045
arg,2007,4350
arg,2008,3580
arg,2009,3986
arg,2010,4223
arg,2011,4578
arg,2012,5409
arg,2013,4278
arg,2014,4359
arg,2015,4293
arg,2016,7465
arg,2017,64368
arg,2018,137032
arm,1992,300000
arm,1993,411000
arm,1994,406039
arm,1995,334450
arm,1996,290950
arm,1997,291000
arm,1998,310012
arm,1999,296216
arm,2000,280591
arm,2001,264338
arm,2002,247553
arm,2003,239325
arm,2004,235303
arm,2005,219620
arm,2006,113792
arm,2007,4664
arm,2008,4125
arm,2009,85877
arm,2010,85844
arm,2011,85892
arm,2012,8772
arm,2013,13990
arm,2014,17917
arm,2015,19696
arm,2016,18480
arm,2017,18795
arm,2018,18909
atg,2007,4
atg,2013,1
atg,2015,15
atg,2016,4
aus,1951,180000
aus,1965,40000
aus,1966,40000
aus,1967,44000
aus,1968,43000
aus,1969,42000
aus,1970,42000
aus,1978,304000
aus,1979,304000
aus,1980,304000
aus,1981,317002
aus,1982,317000
aus,1983,317000
aus,1984,89000
aus,1985,89000
aus,1986,85900
aus,1987,87600
aus,1988,90970
aus,1989,97915
aus,1990,97915
aus,1991,53117
aus,1992,52604
aus,1993,53705
aus,1994,57648
aus,1995,62196
aus,1996,67367
aus,1997,66074
aus,1998,69746
aus,1999,68368
aus,2000,72010
aus,2001,69477
aus,2002,67019
aus,2003,59390
aus,2004,68508
aus,2005,66794
aus,2006,70384
aus,2007,23695
aus,2008,23089
aus,2009,24904
aus,2010,25580
aus,2011,29361
aus,2012,41797
aus,2013,48408
aus,2014,57101
aus,2015,57594
aus,2016,71778
aus,2017,96375
aus,2018,117589
aut,1951,282000
aut,1952,238200
aut,1953,215200
aut,1954,150000
aut,1955,110000
aut,1956,140000
aut,1957,68000
aut,1958,53000
aut,1959,44000
aut,1960,39000
aut,1961,34000
aut,1962,30000
aut,1963,27000
aut,1964,25000
aut,1965,25000
aut,1966,24500
aut,1967,24000
aut,1968,24000
aut,1969,25000
aut,1970,25300
aut,1971,25000
aut,1972,25000
aut,1973,25000
aut,1974,25000
aut,1975,20000
aut,1976,25000
aut,1977,20000
aut,1978,20000
aut,1979,25000
aut,1980,15525
aut,1981,17899
aut,1982,34963
aut,1983,37298
aut,1984,39099
aut,1985,40534
aut,1986,41176
aut,1987,41228
aut,1988,39830
aut,1989,39405
aut,1990,34938
aut,1991,34508
aut,1992,62355
aut,1993,57692
aut,1994,40737
aut,1995,34385
aut,1996,93116
aut,1997,88394
aut,1998,81094
aut,1999,86198
aut,2000,27080
aut,2001,30093
aut,2002,44659
aut,2003,50451
aut,2004,56811
aut,2005,62770
aut,2006,68967
aut,2007,69993
aut,2008,75013
aut,2009,72557
aut,2010,68725
aut,2011,72046
aut,2012,74712
aut,2013,78956
aut,2014,92583
aut,2015,153263
aut,2016,170596
aut,2017,172493
aut,2018,167068
aze,1992,246000
aze,1993,1006840
aze,1994,894735
aze,1995,855782
aze,1996,782722
aze,1997,784792
aze,1998,797956
aze,1999,791193
aze,2000,627790
aze,2001,587300
aze,2002,588233
aze,2003,585195
aze,2004,618815
aze,2005,584313
aze,2006,692023
aze,2007,691598
aze,2008,607934
aze,2009,590298
aze,2010,596877
aze,2011,602734
aze,2012,605526
aze,2013,614290
aze,2014,628190
aze,2015,623373
aze,2016,618321
aze,2017,617599
aze,2018,625326
bdi,1961,30000
bdi,1962,30000
bdi,1963,34000
bdi,1964,78000
bdi,1965,81500
bdi,1966,94700
bdi,1967,79000
bdi,1968,77200
bdi,1969,72200
bdi,1970,46000
bdi,1971,39950
bdi,1972,43390
bdi,1973,49100
bdi,1974,48730
bdi,1975,49550
bdi,1976,49580
bdi,1977,50000
bdi,1978,83220
bdi,1979,52610
bdi,1980,234560
bdi,1981,234750
bdi,1982,253330
bdi,1983,256010
bdi,1984,274750
bdi,1985,269990
bdi,1986,267750
bdi,1987,267500
bdi,1988,267500
bdi,1989,267455
bdi,1990,268403
bdi,1991,270136
bdi,1992,271955
bdi,1993,272050
bdi,1994,728301
bdi,1995,430681
bdi,1996,1031860
bdi,1997,611678
bdi,1998,140838
bdi,1999,92027
bdi,2000,90323
bdi,2001,97927
bdi,2002,149765
bdi,2003,54119
bdi,2004,71905
bdi,2005,53569
bdi,2006,35265
bdi,2007,32406
bdi,2008,126503
bdi,2009,131361
bdi,2010,200765
bdi,2011,126314
bdi,2012,128765
bdi,2013,132606
