origin,time,displaced_population
abw,2010,1
afg,1979,500000
afg,1980,1734921
afg,1981,3879984
afg,1982,4488754
afg,1983,4713165
afg,1984,4418871
afg,1985,4654343
afg,1986,5095453
afg,1987,5511740
afg,1988,5623642
afg,1989,5644909
afg,1990,6360675
afg,1991,6484571
afg,1992,6129086
afg,1993,3391455
afg,1994,3392696
afg,1995,3187076
afg,1996,3106791
afg,1997,3063969
afg,1998,3102133
afg,1999,3213347
afg,2000,4778785
afg,2001,5166652
afg,2002,6013458
afg,2003,3174558
afg,2004,3598240
afg,2005,3192177
afg,2006,2750538
afg,2007,3609746
afg,2008,3374020
afg,2009,3280950
afg,2010,4404457
afg,2011,4250315
afg,2012,4132670
afg,2013,3600396
afg,2014,3713242
afg,2015,4434901
afg,2016,5166125
afg,2017,5336545
afg,2018,5677825
ago,1960,150000
ago,1961,150000
ago,1962,170000
ago,1963,175000
ago,1964,200000
ago,1965,220000
ago,1966,304900
ago,1967,356200
ago,1968,381460
ago,1969,408420
ago,1970,414120
ago,1971,420340
ago,1972,421500
ago,1973,426550
ago,1974,497390
ago,1975,501830
ago,1976,499190
ago,1977,529830
ago,1978,679640
ago,1979,704330
ago,1980,649140
ago,1981,457060
ago,1982,479261
ago,1983,298110
ago,1984,359691
ago,1985,318022
ago,1986,355742
ago,1987,392153
ago,1988,408906
ago,1989,414922
ago,1990,414760
ago,1991,416916
ago,1992,385273
ago,1993,413150
ago,1994,586426
ago,1995,259983
ago,1996,250236
ago,1997,321704
ago,1998,341229
ago,1999,373430
ago,2000,705464
ago,2001,695608
ago,2002,739247
ago,2003,474278
ago,2004,328645
ago,2005,277950
ago,2006,255099
ago,2007,198970
ago,2008,185186
ago,2009,158649
ago,2010,136078
ago,2011,133414
ago,2012,136546
ago,2013,110198
ago,2014,89743
ago,2015,54755
ago,2016,33135
ago,2017,33816
ago,2018,35127
aia,2014,1
aia,2015,1
aia,2016,1
alb,1964,100
alb,1965,4860
alb,1966,4860
alb,1967,4260
alb,1968,4120
alb,1969,4290
alb,1970,4310
alb,1971,390
alb,1972,2300
alb,1973,2090
alb,1974,380
alb,1975,380
alb,1977,2000
alb,1978,1980
alb,1979,1610
alb,1980,1681
alb,1981,1680
alb,1982,1645
alb,1983,1610
alb,1984,1576
alb,1985,1587
alb,1986,90
alb,1987,129
alb,1988,358
alb,1989,367
alb,1990,1822
alb,1991,3760
alb,1992,4585
alb,1993,4744
alb,1994,5023
alb,1995,5803
alb,1996,5787
alb,1997,5379
alb,1998,5353
alb,1999,6288
alb,2000,9620
alb,2001,11604
alb,2002,15756
alb,2003,14920
alb,2004,13806
alb,2005,15301
alb,2006,16368
alb,2007,16982
alb,2008,16828
alb,2009,17303
alb,2010,16166
alb,2011,16367
alb,2012,17069
alb,2013,20881
alb,2014,25370
alb,2015,52571
alb,2016,34853
alb,2017,30920
alb,2018,34573
and,1994,2
and,1995,2
and,1996,3
and,1997,1
and,1998,2
and,1999,3
and,2000,3
and,2001,8
and,2002,13
and,2003,13
and,2004,7
and,2005,12
and,2006,11
and,2007,12
and,2008,9
and,2009,8
and,2010,8
and,2011,6
and,2012,7
and,2013,5
and,2014,7
and,2015,9
and,2016,6
are,1997,4
are,1998,7
are,1999,7
are,2000,25
are,2001,49
are,2002,69
are,2003,45
are,2004,82
are,2005,46
are,2006,277
are,2007,318
are,2008,267
are,2009,440
are,2010,453
are,2011,500
are,2012,608
are,2013,156
are,2014,170
are,2015,204
are,2016,277
are,2017,322
are,2018,426
arg,1980,38
arg,1981,38
arg,1982,1019
arg,1983,192
arg,1984,2272
arg,1985,101
arg,1986,52
arg,1987,47
arg,1988,46
arg,1989,103
arg,1990,334
arg,1991,198
arg,1992,113
arg,1993,103
arg,1994,471
arg,1995,338
arg,1996,217
arg,1997,159
arg,1998,143
arg,1999,586
arg,2000,2172
arg,2001,2112
arg,2002,2104
arg,2003,1919
arg,2004,1307
arg,2005,1148
arg,2006,1073
arg,2007,1292
arg,2008,1191
arg,2009,765
arg,2010,647
arg,2011,578
arg,2012,495
arg,2013,472
arg,2014,435
arg,2015,364
arg,2016,342
arg,2017,463
arg,2018,576
arm,1964,170
arm,1968,200
arm,1969,200
arm,1970,200
arm,1971,4070
arm,1972,3500
arm,1977,440
arm,1978,420
arm,1979,700
arm,1980,333
arm,1981,333
arm,1982,733
arm,1983,333
arm,1984,333
arm,1985,333
arm,1986,528
arm,1987,208
arm,1988,301
arm,1989,1
arm,1990,1
arm,1991,1
arm,1992,195003
arm,1993,277116
arm,1994,273842
arm,1995,273443
arm,1996,275245
arm,1997,275690
arm,1998,193581
arm,1999,193231
arm,2000,11014
arm,2001,13286
arm,2002,18918
arm,2003,18129
arm,2004,17459
arm,2005,18317
arm,2006,20319
arm,2007,19419
arm,2008,20105
arm,2009,104312
arm,2010,103023
arm,2011,102082
arm,2012,18825
arm,2013,17378
arm,2014,18809
arm,2015,19730
arm,2016,23831
arm,2017,25681
arm,2018,24690
asm,2016,3
atg,1997,1
atg,1998,2
atg,1999,2
atg,2000,9
atg,2001,13
atg,2002,46
atg,2003,31
atg,2004,28
atg,2005,24
atg,2006,28
atg,2007,25
atg,2008,52
atg,2009,70
atg,2010,61
atg,2011,65
atg,2012,79
atg,2013,78
atg,2014,70
atg,2015,68
atg,2016,115
atg,2017,148
atg,2018,146
aus,1994,2
aus,1995,1
aus,1996,1
aus,1997,2
aus,1998,1
aus,1999,3
aus,2000,7
aus,2001,12
aus,2002,25
aus,2003,22
aus,2004,25
aus,2005,48
aus,2006,36
aus,2007,64
aus,2008,53
aus,2009,39
aus,2010,47
aus,2011,47
aus,2012,57
aus,2013,40
aus,2014,32
aus,2015,25
aus,2016,29
aus,2017,12
aus,2018,18
aut,1994,60
aut,1995,49
aut,1996,52
aut,1997,55
aut,1998,60
aut,1999,48
aut,2000,39
aut,2001,33
aut,2002,84
aut,2003,77
aut,2004,52
aut,2005,70
aut,2006,50
aut,2007,29
aut,2008,16
aut,2009,14
aut,2010,13
aut,2011,13
aut,2012,18
aut,2013,19
aut,2014,14
aut,2015,8
aut,2016,12
aut,2017,27
aut,2018,14
aze,1992,300000
aze,1993,1106005
aze,1994,991195
aze,1995,861620
aze,1996,785127
aze,1997,786027
aze,1998,906596
aze,1999,880719
aze,2000,862040
aze,2001,847477
aze,2002,842392
aze,2003,833494
aze,2004,833085
