origin,time,displaced_population
aze,2005,816346
aze,2006,815753
aze,2007,704404
aze,2008,621442
aze,2009,605423
aze,2010,611685
aze,2011,617547
aze,2012,618066
aze,2013,623466
aze,2014,637992
aze,2015,633160
aze,2016,631339
aze,2017,633212
aze,2018,640945
bdi,1965,4000
bdi,1966,250
bdi,1972,129000
bdi,1973,131895
bdi,1974,120880
bdi,1975,141940
bdi,1976,152320
bdi,1977,153550
bdi,1978,148580
bdi,1979,151680
bdi,1980,170082
bdi,1981,183002
bdi,1982,176272
bdi,1983,176682
bdi,1984,182962
bdi,1985,199812
bdi,1986,210621
bdi,1987,186911
bdi,1988,243154
bdi,1989,191523
bdi,1990,191942
bdi,1991,230526
bdi,1992,232385
bdi,1993,877737
bdi,1994,750694
bdi,1995,572822
bdi,1996,1419642
bdi,1997,1196019
bdi,1998,626358
bdi,1999,594692
bdi,2000,634567
bdi,2001,647812
bdi,2002,735289
bdi,2003,624077
bdi,2004,584803
bdi,2005,526722
bdi,2006,464062
bdi,2007,422601
bdi,2008,483626
bdi,2009,231465
bdi,2010,253508
bdi,2011,356476
bdi,2012,363575
bdi,2013,330379
bdi,2014,335068
bdi,2015,509805
bdi,2016,741889
bdi,2017,791793
bdi,2018,532757
bel,1994,2
bel,1995,3
bel,1996,5
bel,1997,10
bel,1998,14
bel,1999,16
bel,2000,40
bel,2001,35
bel,2002,51
bel,2003,53
bel,2004,68
bel,2005,117
bel,2006,99
bel,2007,69
bel,2008,89
bel,2009,97
bel,2010,92
bel,2011,94
bel,2012,109
bel,2013,109
bel,2014,98
bel,2015,101
bel,2016,67
bel,2017,85
bel,2018,126
ben,1976,100
ben,1978,200
ben,1979,200
ben,1986,50
ben,1987,50
ben,1988,50
ben,1989,62
ben,1990,2
ben,1991,4
ben,1992,4
ben,1993,69
ben,1994,78
ben,1995,54
ben,1996,46
ben,1997,46
ben,1998,56
ben,1999,52
ben,2000,206
ben,2001,238
ben,2002,463
ben,2003,542
ben,2004,524
ben,2005,683
ben,2006,375
ben,2007,440
ben,2008,505
ben,2009,608
ben,2010,677
ben,2011,735
ben,2012,899
ben,2013,820
ben,2014,1061
ben,2015,1583
ben,2016,1670
ben,2017,1689
ben,2018,1676
bfa,1984,50
bfa,1985,90
bfa,1986,110
bfa,1987,50
bfa,1989,2
bfa,1990,2
bfa,1991,8
bfa,1992,61
bfa,1993,63
bfa,1994,72
bfa,1995,63
bfa,1996,72
bfa,1997,118
bfa,1998,105
bfa,1999,107
bfa,2000,380
bfa,2001,341
bfa,2002,1157
bfa,2003,1011
bfa,2004,689
bfa,2005,818
bfa,2006,580
bfa,2007,822
bfa,2008,1042
bfa,2009,1367
bfa,2010,1650
bfa,2011,1621
bfa,2012,1980
bfa,2013,2529
bfa,2014,3450
bfa,2015,4851
bfa,2016,6569
bfa,2017,10567
bfa,2018,63369
bgd,1987,2
bgd,1988,6
bgd,1989,6
bgd,1990,477
bgd,1991,611
bgd,1992,53921
bgd,1993,57158
bgd,1994,56199
bgd,1995,56957
bgd,1996,57962
bgd,1997,60912
bgd,1998,18078
bgd,1999,4468
bgd,2000,8723
bgd,2001,8997
bgd,2002,10636
bgd,2003,13836
bgd,2004,15077
bgd,2005,17471
bgd,2006,11825
bgd,2007,17578
bgd,2008,16810
bgd,2009,12260
bgd,2010,16559
bgd,2011,15308
bgd,2012,18345
bgd,2013,32603
bgd,2014,32977
bgd,2015,42749
bgd,2016,39796
bgd,2017,84882
bgd,2018,79812
bgr,1969,90
bgr,1970,320
bgr,1971,340
bgr,1972,340
bgr,1973,340
bgr,1974,300
bgr,1975,300
bgr,1978,290
bgr,1980,329
bgr,1981,274
bgr,1982,257
bgr,1983,227
bgr,1984,183
bgr,1985,190
bgr,1986,160
bgr,1987,138
bgr,1988,898
bgr,1989,869
bgr,1990,1922
bgr,1991,2735
bgr,1992,2981
bgr,1993,3155
bgr,1994,4689
bgr,1995,4156
bgr,1996,3246
bgr,1997,3048
bgr,1998,3122
bgr,1999,2653
bgr,2000,3712
bgr,2001,3630
bgr,2002,4587
bgr,2003,3946
bgr,2004,3452
bgr,2005,5471
bgr,2006,4270
bgr,2007,3725
bgr,2008,3340
bgr,2009,3182
bgr,2010,2687
bgr,2011,2507
bgr,2012,2291
bgr,2013,2059
bgr,2014,1841
bgr,2015,1476
bgr,2016,1066
bgr,2017,1024
bgr,2018,965
bhr,1990,39
bhr,1991,52
bhr,1992,53
bhr,1993,60
bhr,1994,75
bhr,1995,71
bhr,1996,63
bhr,1997,82
bhr,1998,97
bhr,1999,129
bhr,2000,150
bhr,2001,75
bhr,2002,64
bhr,2003,64
bhr,2004,74
bhr,2005,68
bhr,2006,82
bhr,2007,91
bhr,2008,93
bhr,2009,83
bhr,2010,113
bhr,2011,291
bhr,2012,407
bhr,2013,373
bhr,2014,455
bhr,2015,511
bhr,2016,557
bhr,2017,664
bhr,2018,665
bhs,1998,1
bhs,1999,1
bhs,2000,11
bhs,2001,24
bhs,2002,162
bhs,2003,19
bhs,2004,21
bhs,2005,19
bhs,2006,33
bhs,2007,39
bhs,2008,40
bhs,2009,47
bhs,2010,47
bhs,2011,222
bhs,2012,234
bhs,2013,237
bhs,2014,257
bhs,2015,297
bhs,2016,420
bhs,2017,607
bhs,2018,792
bih,1992,447801
bih,1993,1908428
bih,1994,2058783
bih,1995,1868368
bih,1996,1854632
bih,1997,1844453
bih,1998,1635148
bih,1999,1482906
bih,2000,1105602
bih,2001,988600
bih,2002,892355
bih,2003,683704
bih,2004,559635
bih,2005,300929
bih,2006,342736
bih,2007,217971
bih,2008,252236
bih,2009,236863
bih,2010,231790
bih,2011,228381
bih,2012,222688
bih,2013,189751
bih,2014,165785
bih,2015,176576
bih,2016,172078
bih,2017,167020
bih,2018,164276
blr,1993,2
blr,1994,37
blr,1995,84
blr,1996,501
blr,1997,303
blr,1998,290
blr,1999,1507
blr,2000,3291
blr,2001,4830
blr,2002,8441
blr,2003,9913
blr,2004,9641
blr,2005,10288
blr,2006,11080
blr,2007,6177
blr,2008,6463
blr,2009,6506
blr,2010,6482
blr,2011,6839
blr,2012,7214
blr,2013,5277
blr,2014,5286
blr,2015,5603
blr,2016,5780
blr,2017,6503
blr,2018,6791
blz,1994,8
blz,1995,8
blz,1996,3
blz,1999,11
blz,2000,28
blz,2001,28
blz,2002,36
blz,2003,37
blz,2004,32
blz,2005,32
blz,2006,33
blz,2007,32
blz,2008,39
blz,2009,36
blz,2010,33
blz,2011,50
blz,2012,47
blz,2013,95
blz,2014,129
blz,2015,206
blz,2016,217
blz,2017,266
blz,2018,280
bmu,1998,1
bmu,1999,1
bmu,2000,1
bmu,2001,1
bmu,2002,1
bmu,2003,2
bmu,2004,1
bmu,2005,5
bmu,2006,2
bmu,2010,1
bmu,2011,5
bmu,2012,4
bmu,2013,1
bmu,2016,2
bol,1970,1400
bol,1971,2930
bol,1972,1730
bol,1974,1650
bol,1975,90
bol,1976,60
bol,1980,170
bol,1981,101
bol,1982,741
bol,1983,1851
bol,1984,1
bol,1985,1
bol,1986,1
bol,1987,1
bol,1988,2
bol,1989,28
bol,1990,731
bol,1991,67
bol,1992,28
bol,1993,41
bol,1994,178
bol,1995,180
bol,1996,177
bol,1997,161
bol,1998,183
bol,1999,174
bol,2000,300
bol,2001,316
bol,2002,709
bol,2003,754
bol,2004,671
bol,2005,622
bol,2006,803
bol,2007,851
bol,2008,615
bol,2009,738
bol,2010,727
bol,2011,764
bol,2012,785
bol,2013,815
bol,2014,871
bol,2015,921
bol,2016,959
bol,2017,1361
bol,2018,1488
bra,1971,2000
bra,1972,2000
bra,1980,5
bra,1981,5
bra,1982,5
bra,1983,5
bra,1984,5
bra,1985,5
bra,1986,3
bra,1987,1
bra,1988,1
bra,1989,6
bra,1990,14
bra,1991,11
bra,1992,11
bra,1993,12
bra,1994,44
bra,1995,59
bra,1996,85
bra,1997,104
bra,1998,136
bra,1999,196
bra,2000,874
bra,2001,1052
bra,2002,1588
bra,2003,1645
bra,2004,1420
bra,2005,963
bra,2006,1140
bra,2007,1936
bra,2008,1773
bra,2009,1347
bra,2010,1244
bra,2011,1246
bra,2012,1327
bra,2013,1554
bra,2014,2182
bra,2015,3054
bra,2016,4585
bra,2017,7621
bra,2018,9565
brb,1994,4
brb,1995,3
brb,1996,2
brb,1997,3
brb,1998,5
brb,1999,4
brb,2000,18
brb,2001,31
brb,2002,70
brb,2003,56
brb,2004,22
brb,2005,29
brb,2006,66
brb,2007,70
brb,2008,83
brb,2009,95
brb,2010,95
brb,2011,120
brb,2012,114
brb,2013,115
brb,2014,106
brb,2015,124
brb,2016,193
brb,2017,241
brb,2018,292
brn,1995,3
brn,1996,5
brn,2002,2
brn,2003,1
brn,2004,1
brn,2005,49
brn,2006,2
brn,2007,2
brn,2008,1
brn,2009,1
brn,2010,2
brn,2011,2
brn,2012,1
brn,2013,1
brn,2014,2
brn,2015,5
brn,2016,5
brn,2017,10
btn,1991,9504
btn,1992,75442
btn,1993,85336
btn,1994,103272
btn,1995,104750
btn,1996,106822
btn,1997,108703
btn,1998,105689
btn,1999,107619
btn,2000,108989
btn,2001,110913
btn,2002,112578
btn,2003,114222
btn,2004,115740
btn,2005,117647
btn,2006,119530
btn,2007,112241
btn,2008,106056
btn,2009,90078
btn,2010,76092
btn,2011,59009
btn,2012,41693
btn,2013,31734
btn,2014,23834
btn,2015,17947
btn,2016,12043
btn,2017,8326
btn,2018,7461
bwa,1989,3
bwa,1990,3
bwa,1991,3
bwa,1992,3
bwa,1993,4
bwa,1994,21
bwa,1995,25
bwa,1996,23
bwa,1997,17
bwa,1998,16
bwa,1999,10
bwa,2000,8
bwa,2001,8
bwa,2002,16
bwa,2003,23
bwa,2004,13
bwa,2005,15
bwa,2006,43
bwa,2007,72
bwa,2008,179
bwa,2009,227
bwa,2010,241
bwa,2011,260
bwa,2012,255
bwa,2013,275
bwa,2014,304
bwa,2015,376
bwa,2016,399
bwa,2017,365
bwa,2018,363
caf,1982,15000
caf,1986,230
caf,1987,160
caf,1988,170
caf,1989,310
caf,1990,100
caf,1991,320
caf,1992,325
caf,1993,339
caf,1994,279
caf,1995,243
caf,1996,241
caf,1997,149
caf,1998,174
caf,1999,197
caf,2000,255
caf,2001,29059
caf,2002,26053
caf,2003,41091
caf,2004,32725
caf,2005,44807
caf,2006,220848
caf,2007,301458
caf,2008,323357
caf,2009,357477
caf,2010,358999
caf,2011,345395
caf,2012,255902
caf,2013,1154764
caf,2014,1490913
caf,2015,998858
caf,2016,968695
caf,2017,1436264
caf,2018,1612202
can,1991,4
can,1992,4
can,1993,4
can,1994,4
can,1995,4
can,1996,8
can,1997,11
can,1998,15
can,1999,18
can,2000,33
can,2001,17
can,2002,71
can,2003,85
can,2004,76
can,2005,158
can,2006,140
can,2007,590
can,2008,162
can,2009,110
can,2010,95
can,2011,117
can,2012,134
can,2013,135
can,2014,168
can,2015,427
can,2016,151
can,2017,132
can,2018,135
che,1994,8
che,1995,27
che,1996,33
che,1997,55
che,1998,77
che,1999,91
che,2000,71
che,2001,62
che,2002,61
che,2003,37
che,2004,13
che,2005,18
che,2006,38
che,2007,35
che,2008,38
che,2009,23
che,2010,20
che,2011,22
che,2012,22
che,2013,15
che,2014,21
che,2015,21
che,2016,19
che,2017,12
che,2018,13
chl,1974,13550
chl,1975,15350
chl,1976,2670
chl,1977,3000
chl,1978,3130
chl,1979,3130
chl,1980,1505
chl,1981,1885
chl,1982,2613
chl,1983,1794
chl,1984,1662
chl,1985,2421
chl,1986,2504
chl,1987,1966
chl,1988,608
chl,1989,1201
chl,1990,14838
chl,1991,14237
chl,1992,14330
chl,1993,17056
chl,1994,17421
chl,1995,14917
chl,1996,12840
chl,1997,9776
chl,1998,7030
chl,1999,1550
chl,2000,1033
chl,2001,1044
chl,2002,2224
chl,2003,1871
chl,2004,1395
chl,2005,1030
chl,2006,885
chl,2007,1101
chl,2008,1118
chl,2009,1492
chl,2010,1344
chl,2011,1313
chl,2012,1222
chl,2013,666
chl,2014,682
chl,2015,716
chl,2016,703
chl,2017,837
chl,2018,985
chn,1964,1200000
chn,1965,1330000
chn,1966,1326810
chn,1967,74000
chn,1968,70000
chn,1969,65000
chn,1970,66000
chn,1971,70000
chn,1972,75000
chn,1980,24
chn,1981,24
chn,1982,104
chn,1983,24
chn,1984,24
chn,1985,124
chn,1986,154
chn,1987,24
chn,1988,265
chn,1989,413
chn,1990,2806
chn,1991,2011
chn,1992,85036
chn,1993,111517
chn,1994,113907
chn,1995,104693
chn,1996,105815
chn,1997,106738
chn,1998,109405
chn,1999,111952
chn,2000,128161
chn,2001,137204
chn,2002,157337
chn,2003,153664
chn,2004,154447
chn,2005,143495
chn,2006,157892
chn,2007,164632
chn,2008,194801
chn,2009,198895
chn,2010,192348
chn,2011,201746
chn,2012,208819
chn,2013,219944
chn,2014,258562
chn,2015,270621
chn,2016,279918
chn,2017,297181
chn,2018,306358
civ,1987,1
civ,1988,1
civ,1989,1
civ,1990,2
civ,1991,13
civ,1992,34
civ,1993,41
civ,1994,98
civ,1995,201
civ,1996,268
civ,1997,360
civ,1998,537
civ,1999,564
civ,2000,1460
civ,2001,1655
civ,2002,125439
civ,2003,91589
civ,2004,74053
civ,2005,62735
civ,2006,742081
civ,2007,738914
civ,2008,737792
civ,2009,714476
civ,2010,584979
civ,2011,902670
civ,2012,326113
civ,2013,161688
civ,2014,121858
civ,2015,405821
civ,2016,85003
civ,2017,74815
civ,2018,63934
cmr,1989,60
cmr,1990,100
cmr,1991,1
cmr,1992,84
cmr,1993,174
cmr,1994,239
cmr,1995,2022
cmr,1996,2109
cmr,1997,2259
cmr,1998,1356
cmr,1999,1654
cmr,2000,3560
cmr,2001,4892
cmr,2002,8074
cmr,2003,9568
cmr,2004,11369
cmr,2005,13961
cmr,2006,13771
cmr,2007,14502
cmr,2008,16803
cmr,2009,17024
cmr,2010,17065
cmr,2011,17664
cmr,2012,16791
cmr,2013,15670
cmr,2014,16292
cmr,2015,129278
cmr,2016,238565
cmr,2017,290971
cmr,2018,799851
cod,1964,58700
cod,1965,47000
cod,1966,74800
cod,1967,81890
cod,1968,76330
cod,1969,56430
cod,1970,51720
cod,1971,52260
cod,1972,44620
cod,1973,43690
cod,1974,39820
cod,1975,39410
cod,1976,44070
cod,1977,265410
cod,1978,292080
cod,1979,153360
cod,1980,117750
cod,1981,119370
cod,1982,92455
cod,1983,106231
cod,1984,102352
cod,1985,88948
cod,1986,99679
cod,1987,70368
cod,1988,103587
cod,1989,103996
cod,1990,67503
cod,1991,65816
cod,1992,96530
cod,1993,74950
cod,1994,73797
cod,1995,92520
cod,1996,160609
cod,1997,219110
cod,1998,225329
cod,1999,273520
cod,2000,408610
cod,2001,425008
cod,2002,487935
cod,2003,508592
cod,2004,526956
cod,2005,525941
cod,2006,2037662
cod,2007,2784383
cod,2008,1918418
cod,2009,2662810
cod,2010,2718550
cod,2011,3097186
cod,2012,3613559
cod,2013,4192444
cod,2014,4039313
cod,2015,2927949
cod,2016,3495239
cod,2017,5374504
cod,2018,5388028
cog,1965,29000
cog,1966,17200
cog,1967,2710
cog,1968,6000
cog,1969,11420
cog,1970,3770
cog,1975,110
cog,1980,6
cog,1981,6
cog,1982,6
cog,1983,6
cog,1984,6
cog,1985,6
cog,1986,6
cog,1990,2
cog,1991,4
cog,1992,7
cog,1993,11
cog,1994,38
cog,1995,177
cog,1996,222
cog,1997,33323
cog,1998,42416
cog,1999,79554
cog,2000,37465
cog,2001,29164
cog,2002,35648
cog,2003,37714
cog,2004,36338
cog,2005,32958
cog,2006,34488
cog,2007,25970
cog,2008,25072
cog,2009,23834
cog,2010,23793
cog,2011,24209
cog,2012,15009
cog,2013,15088
cog,2014,18076
cog,2015,18972
cog,2016,33057
cog,2017,134236
cog,2018,163109
cok,2009,1
cok,2010,2
cok,2011,1
cok,2012,1
cok,2013,1
cok,2014,1
cok,2015,1
cok,2016,1
col,1981,50
col,1982,100
col,1985,60
col,1986,50
col,1987,50
col,1988,35
col,1989,66
col,1990,494
col,1991,740
col,1992,914
col,1993,1049
col,1994,1380
col,1995,1906
col,1996,2175
col,1997,2377
col,1998,3540
col,1999,5662
col,2000,539601
col,2001,753570
col,2002,1052657
col,2003,1331600
col,2004,2095328
col,2005,2540109
col,2006,3561757
col,2007,3594859
col,2008,3426198
col,2009,3758127
col,2010,4128020
col,2011,4326869
col,2012,4356277
col,2013,5780516
col,2014,6409190
col,2015,7287877
col,2016,7734658
col,2017,7901875
col,2018,8024596
com,1989,5
com,1990,4
com,1991,2
com,1992,2
com,1993,2
com,1994,5
com,1995,10
com,1996,13
com,1997,10
com,1998,33
com,1999,31
com,2000,122
com,2001,106
com,2002,80
com,2003,106
com,2004,571
com,2005,577
com,2006,84
com,2007,139
com,2008,418
com,2009,281
com,2010,381
com,2011,455
com,2012,503
com,2013,840
com,2014,930
com,2015,784
com,2016,816
com,2017,902
com,2018,1091
cpv,1966,300
cpv,1967,300
cpv,1968,430
cpv,1969,400
cpv,1970,400
cpv,1992,1
cpv,1993,1
cpv,1994,1
cpv,1995,1
cpv,1996,2
cpv,1997,2
cpv,1998,1
cpv,1999,2
cpv,2000,16
cpv,2001,24
cpv,2002,21
cpv,2003,19
cpv,2004,19
cpv,2005,19
cpv,2006,50
cpv,2007,39
cpv,2008,37
cpv,2009,31
cpv,2010,37
cpv,2011,36
cpv,2012,38
cpv,2013,50
cpv,2014,69
cpv,2015,130
cpv,2016,116
cpv,2017,183
cpv,2018,201
cri,1991,1
cri,1992,5
cri,1993,7
cri,1994,223
cri,1995,211
cri,1996,139
cri,1997,90
cri,1998,54
cri,1999,76
cri,2000,283
cri,2001,757
cri,2002,1828
cri,2003,1562
cri,2004,489
cri,2005,311
cri,2006,359
cri,2007,427
cri,2008,420
cri,2009,423
cri,2010,428
cri,2011,371
cri,2012,352
cri,2013,924
cri,2014,544
cri,2015,597
cri,2016,516
cri,2017,676
cri,2018,732
cub,1969,14500
cub,1970,16700
cub,1971,54500
cub,1972,17070
cub,1974,1600
cub,1979,3560
cub,1980,1693
cub,1981,2703
cub,1982,653
cub,1983,924
cub,1984,1356
cub,1985,1876
cub,1986,686
cub,1987,836
cub,1988,3874
cub,1989,7682
cub,1990,13953
cub,1991,17695
cub,1992,21273
cub,1993,22406
cub,1994,23321
cub,1995,24855
cub,1996,25525
cub,1997,24913
cub,1998,23563
cub,1999,23328
cub,2000,23553
cub,2001,22493
cub,2002,20734
cub,2003,18307
cub,2004,17671
cub,2005,20684
cub,2006,34923
cub,2007,8596
cub,2008,8820
cub,2009,9776
cub,2010,11881
cub,2011,8787
cub,2012,8572
cub,2013,8587
cub,2014,9470
cub,2015,9272
cub,2016,10975
cub,2017,18560
cub,2018,32033
cym,2002,1
cym,2003,1
cym,2004,1
cym,2005,1
cym,2006,1
cym,2010,1
cym,2011,3
cym,2012,1
cym,2013,6
cym,2014,6
cym,2015,6
cym,2016,7
cym,2017,6
cym,2018,6
cyp,1977,700
cyp,1988,11
cyp,1989,11
cyp,1990,11
cyp,1993,265000
cyp,1994,265007
cyp,1995,265009
cyp,1996,265010
cyp,1997,265008
cyp,1998,265011
cyp,1999,406
cyp,2000,18
cyp,2001,18
cyp,2002,28
cyp,2003,13
cyp,2004,6
cyp,2005,9
cyp,2006,6
cyp,2007,11
cyp,2008,12
cyp,2009,13
cyp,2010,16
cyp,2011,13
cyp,2012,14
cyp,2013,12
cyp,2014,13
cyp,2015,11
cyp,2016,11
cyp,2017,20
cyp,2018,19
cze,1970,70
cze,1971,70
cze,1972,70
cze,1973,60
cze,1974,50
cze,1975,50
cze,1980,393
cze,1981,389
cze,1982,494
cze,1983,421
cze,1984,456
cze,1985,981
cze,1986,411
cze,1987,385
cze,1988,5649
cze,1989,5790
cze,1990,6123
cze,1991,4491
cze,1992,3327
cze,1993,5015
cze,1994,4648
cze,1995,2039
cze,1996,981
cze,1997,698
cze,1998,1934
cze,1999,1243
cze,2000,989
cze,2001,1390
cze,2002,7175
cze,2003,7056
cze,2004,4700
cze,2005,3792
cze,2006,2316
cze,2007,1522
cze,2008,2148
cze,2009,3166
cze,2010,1977
cze,2011,1425
cze,2012,831
cze,2013,1109
cze,2014,1431
cze,2015,1413
cze,2016,1511
cze,2017,1576
cze,2018,1443
deu,1991,4
deu,1992,4
deu,1993,8
deu,1994,449
deu,1995,386
deu,1996,420
deu,1997,443
deu,1998,688
deu,1999,1298
deu,2000,1238
deu,2001,1087
deu,2002,1001
deu,2003,788
deu,2004,141
deu,2005,141
deu,2006,197
deu,2007,196
deu,2008,269
deu,2009,257
deu,2010,200
deu,2011,206
deu,2012,208
deu,2013,256
deu,2014,268
deu,2015,256
deu,2016,206
deu,2017,229
deu,2018,229
dji,1990,5
dji,1991,10
dji,1992,11
dji,1993,38
dji,1994,18068
dji,1995,18095
dji,1996,18101
dji,1997,8142
dji,1998,3219
dji,1999,1879
dji,2000,2059
dji,2001,1092
dji,2002,586
dji,2003,593
dji,2004,535
dji,2005,722
dji,2006,598
dji,2007,680
dji,2008,716
dji,2009,784
dji,2010,798
dji,2011,889
dji,2012,952
dji,2013,1169
dji,2014,1309
dji,2015,1618
dji,2016,2282
dji,2017,3019
dji,2018,3207
dma,1996,1
dma,1997,1
dma,1998,1
dma,1999,3
dma,2000,18
dma,2001,32
dma,2002,55
dma,2003,46
dma,2004,44
dma,2005,76
dma,2006,67
dma,2007,67
